millis,stamp,datetime,motion_sensor_1,motion_sensor_2,temperature,sound_digital
583999,1569521404,2019/9/26 18:10:4,0,1,24,0
585999,1569521406,2019/9/26 18:10:6,0,0,24,0
586998,1569521408,2019/9/26 18:10:8,0,0,24,0
588000,1569521409,2019/9/26 18:10:9,0,0,24,0
588998,1569521410,2019/9/26 18:10:10,0,1,24,0
590999,1569521412,2019/9/26 18:10:12,0,0,24,0
591998,1569521413,2019/9/26 18:10:13,0,0,24,0
593000,1569521414,2019/9/26 18:10:14,0,0,24,0
593999,1569521415,2019/9/26 18:10:15,0,1,24,0
595999,1569521417,2019/9/26 18:10:17,0,0,24,0
597000,1569521418,2019/9/26 18:10:18,0,0,24,0
597998,1569521419,2019/9/26 18:10:19,0,0,23.9,0
599000,1569521420,2019/9/26 18:10:20,0,0,23.9,0
599999,1569521421,2019/9/26 18:10:21,0,0,23.9,0
600999,1569521422,2019/9/26 18:10:22,0,0,23.9,0
602000,1569521423,2019/9/26 18:10:23,0,0,23.9,0
602999,1569521424,2019/9/26 18:10:24,0,0,23.9,1
606000,1569521427,2019/9/26 18:10:27,0,0,23.9,1
608999,1569521430,2019/9/26 18:10:30,0,0,23.9,0
609998,1569521431,2019/9/26 18:10:31,0,0,23.9,0
613000,1569521434,2019/9/26 18:10:34,0,0,23.9,0
613998,1569521435,2019/9/26 18:10:35,0,0,23.9,0
616999,1569521438,2019/9/26 18:10:38,0,0,23.9,0
619999,1569521441,2019/9/26 18:10:41,0,1,23.9,0
624000,1569521445,2019/9/26 18:10:45,0,0,23.9,0
626999,1569521448,2019/9/26 18:10:48,0,0,23.9,0
629998,1569521451,2019/9/26 18:10:51,0,0,23.9,0
632999,1569521454,2019/9/26 18:10:54,0,0,23.9,0
636000,1569521457,2019/9/26 18:10:57,0,0,23.9,0
638999,1569521460,2019/9/26 18:11:0,0,0,23.9,0
641998,1569521463,2019/9/26 18:11:3,0,0,24,0
644999,1569521466,2019/9/26 18:11:6,0,0,24,0
647998,1569521469,2019/9/26 18:11:9,0,0,24,0
650999,1569521472,2019/9/26 18:11:12,0,0,24,0
654000,1569521475,2019/9/26 18:11:15,0,0,24,0
656999,1569521478,2019/9/26 18:11:18,0,0,24,0
659999,1569521481,2019/9/26 18:11:21,0,0,24,0
663000,1569521484,2019/9/26 18:11:24,0,0,24,0
666000,1569521487,2019/9/26 18:11:27,0,0,24,0
668999,1569521490,2019/9/26 18:11:30,0,0,24,0
672000,1569521493,2019/9/26 18:11:33,0,0,23.9,0
675000,1569521496,2019/9/26 18:11:36,0,0,23.9,0
677999,1569521499,2019/9/26 18:11:39,0,0,23.9,0
680999,1569521502,2019/9/26 18:11:42,0,0,23.9,0
684000,1569521505,2019/9/26 18:11:45,0,0,23.9,0
686999,1569521508,2019/9/26 18:11:48,0,0,23.9,0
689999,1569521511,2019/9/26 18:11:51,0,0,23.9,0
693000,1569521514,2019/9/26 18:11:54,0,1,23.9,1
695999,1569521517,2019/9/26 18:11:57,0,1,23.9,1
698999,1569521520,2019/9/26 18:12:0,0,1,23.9,1
701999,1569521523,2019/9/26 18:12:3,0,1,23.9,1
704999,1569521526,2019/9/26 18:12:6,0,1,23.9,1
708999,1569521530,2019/9/26 18:12:10,0,1,23.9,1
711999,1569521533,2019/9/26 18:12:13,0,1,23.8,1
716000,1569521538,2019/9/26 18:12:18,0,1,23.8,1
720000,1569521542,2019/9/26 18:12:22,0,1,23.8,1
723999,1569521546,2019/9/26 18:12:26,0,1,23.8,1
727000,1569521549,2019/9/26 18:12:29,0,0,23.8,1
730000,1569521552,2019/9/26 18:12:32,0,1,23.8,1
734000,1569521556,2019/9/26 18:12:36,0,1,23.8,1
737998,1569521560,2019/9/26 18:12:40,0,1,23.8,1
740999,1569521563,2019/9/26 18:12:43,0,1,23.8,1
743998,1569521566,2019/9/26 18:12:46,0,1,23.8,1
746998,1569521569,2019/9/26 18:12:49,0,1,23.8,1
749999,1569521572,2019/9/26 18:12:52,0,1,23.8,1
752999,1569521575,2019/9/26 18:12:55,0,1,23.8,1
755998,1569521578,2019/9/26 18:12:58,0,1,23.8,1
758999,1569521581,2019/9/26 18:13:1,0,1,23.8,1
1404998,1569522232,2019/9/26 18:23:52,0,0,24.7,0
1405999,1569522233,2019/9/26 18:23:53,0,0,24.7,0
1406999,1569522234,2019/9/26 18:23:54,0,0,24.7,0
1408000,1569522235,2019/9/26 18:23:55,0,0,24.7,0
1408998,1569522236,2019/9/26 18:23:56,0,0,24.7,0
1409998,1569522237,2019/9/26 18:23:57,0,0,24.7,0
1410999,1569522238,2019/9/26 18:23:58,0,0,24.7,0
1411999,1569522239,2019/9/26 18:23:59,0,0,24.7,0
